data,dia_semana,hora,natureza,bairro,logradouro_endereco,endereco,logradouro_detalhe_endereco,detalhe_endereco_acidente,complemento,bairro_cruzamento,num_semaforo,sentido_via,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1,divisao_via2,divisao_via3
2021-11-16,terça-feira ,08:33:00,COM VÍTIMA,CABANGA,VIADUTO,VIADUTO CAPITAO TEMUDO,,,EM CIMA DO VIADUTO DO CABANGA (SENT. BOA VIAGEM) // ALÇA DE TRANSPORTE,CABANGA,,SUBURBIO,COLISÃO TRASEIRA,2,0,0,0,0,1,0,0,0,2,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não hA placas,60 km/h,Única,Faixa seccionada,,
2021-11-16,terça-feira ,09:07:00,COM VÍTIMA,SANTO AMARO,AVENIDA,AVENIDA GOVERNADOR AGAMENON MAGALHAES,,,EM FRENTE AO EDF HENRIQUE DIAS,SANTO AMARO,,OLINDA,COLISÃO TRANSVERSAL,2,0,0,0,0,0,1,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não hA placas,60 km/h,Dupla,Canal,,
2021-11-16,terça-feira ,12:47:00,COM VÍTIMA,TORROES,AVENIDA,AVENIDA ENGENHEIRO ABDIAS DE CARVALHO,,,LADO OPOSTO AO POSTO DE GASOLINA BR,TORRÕES,,CIDADE,COLISÃO TRASEIRA,0,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não hA placas,,Única,Faixa seccionada,,
2021-11-16,terça-feira ,12:51:00,SEM VÍTIMA,ESPINHEIRO,AVENIDA,AVENIDA GOVERNADOR AGAMENON MAGALHAES,,,EM FRENTE À FIORI JEEP / SUBIDA DO VIADUTO,ESPINHEIRO,,CIDADE,COLISÃO LATERAL,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2021-11-16,terça-feira ,12:58:00,COM VÍTIMA,SANTO AMARO,AVENIDA,AVENIDA GOVERNADOR AGAMENON MAGALHAES,,,EM FRENTE A UPE/ SENTIDO OLINDA,SANTO AMARO,,,COLISÃO FRONTAL,1,1,0,0,0,0,0,0,0,2,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não existe,Não hA placas,60 km/h,Única,Faixa seccionada,,
2021-11-16,terça-feira ,15:49:00,SEM VÍTIMA,ARRUDA,AVENIDA,AVENIDA PEDRO DE MELO PEDROZA,,,EM FRENTE AO CONDOMINIO ARISTOTELES DE ANDRADE,ARRUDA,,,COLISÃO COM CICLISTA,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
2021-11-16,terça-feira ,18:57:00,COM VÍTIMA,IMBIRIBEIRA,AVENIDA,AVENIDA MARECHAL MASCARENHAS DE MORAES,,,EM FRENTE A MOVIDA,IMBIRIBEIRA,,CIDADE,QUEDA,0,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,,Outras,60 km/h,Dupla,Canteiro central,,
2021-11-16,terça-feira ,19:00:00,SEM VÍTIMA,BOA VIAGEM,AVENIDA,AVENIDA BOA VIAGEM,,,E/F AO HOTEL GRAND MERCURY,BOA VIAGEM,,,COLISÃO LATERAL,1,0,0,0,0,0,0,1,0,0,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,"Placas ""Dê a preferência""",60KM/H,Única,Faixa seccionada,,
2021-11-16,terça-feira ,20:07:00,COM VÍTIMA,IMBIRIBEIRA,AVENIDA,AVENIDA MARECHAL MASCARENHAS DE MORAES,,,EM FRENTE A PRAÇA MIN SALGADO FILHO,IMBIRIBEIRA,570,SUBURBIO,ATROPELAMENTO DE PESSOA,0,0,0,0,1,0,0,0,0,1,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,,Dupla,Canteiro central,,
2021-11-16,terça-feira ,20:51:00,SEM VÍTIMA,ENCRUZILHADA,AVENIDA,AVENIDA NORTE MIGUEL ARRAES DE ALENCAR,,,"EF AO EXTRA, SEMAFORO 045, SNT CID/SUB",ENCRUZILHADA,,,CHOQUE,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
